Text,Language
Mwalimu alielezea somo kwa uvumilivu mkubwa.,Swahili
Tunaomba amani na utulivu katika nchi yetu.,Swahili
Biashara ndogo ndogo zinachangia uchumi wa nchi.,Swahili
Nyumba mpya inajengwa kwa nguvu nyingi sana.,Swahili
Vijana wanapaswa kujifunza stadi za maisha mapema.,Swahili
Polisi walifika haraka baada ya kupigwa simu.,Swahili
Soko la Gikomba lina bidhaa nyingi za bei nafuu.,Swahili
Watoto wanapenda kula pipi na chokoleti nyingi.,Swahili
Kampuni ya simu imetoa ofa mpya kwa wateja.,Swahili
Mazingira safi yanasaidia afya ya kila mtu.,Swahili
Msichana yule amesoma sana hadi akafaulu vizuri.,Swahili
Umeme ulizimwa kwa muda wa masaa mawili usiku.,Swahili
Chakula cha asubuhi ni muhimu kwa nguvu za mwili.,Swahili
Ziwa Victoria ni ziwa kubwa sana barani Afrika.,Swahili
Mchezaji huyo alipiga goli zuri sana mchezo wa leo.,Swahili
Wimbo huu unanigusa moyo kila niusikiapo.,Swahili
Familia yangu inakaa pamoja kila Jumapili usiku.,Swahili
Gari la moshi lilifika stesheni kwa wakati.,Swahili
Mtoto alipoteza kitabu chake darasa la tatu.,Swahili
Dada yangu anafanya kazi benki mjini Nairobi.,Swahili
Shamba letu lina matunda mengi msimu huu.,Swahili
Wazazi wanapaswa kutumia muda na watoto wao.,Swahili
Barua pepe iliwasilishwa kwa makosa kwa mtu mwingine.,Swahili
Timu yetu ilicheza vizuri na kushinda mechi leo.,Swahili
Mgonjwa alifika hospitali akiwa na hali mbaya sana.,Swahili
Darasa letu lina wanafunzi arobaini na watano.,Swahili
Nyota zinang'aa sana usiku wa leo hapa.,Swahili
Mto Tana una maji mengi wakati wa masika.,Swahili
Sasa wasee tujuane mtaa tuchanue rada.,Sheng
Inakuaje msee leo tunajipanga aje kimpango?,Sheng
Tugende job kesho mapema sana tuchanuke.,Sheng
Rada ni chafu pande hii ya mtaa leo.,Sheng
Wewe ni mnoma sana kwa hizi mbwebe.,Sheng
Manze hiyo risto ilinitambua sana jana.,Sheng
Tuonane base ya kawa tuchige story mob.,Sheng
Maze huyu msee anajipiga miondoko sana.,Sheng
Hiyo luku yako leo imetokelezea mbaya.,Sheng
Si tuende mtaani tukacheki hiyo game.,Sheng
Budda randa ni gani pande hizo zenyu?,Sheng
Yule dem ni mjanja amechanuka kinoma.,Sheng
Tunaenda kudunda kuanzia saa nne usiku.,Sheng
Kula mullah kwanza ndio upige sherehe.,Sheng
Wasee wote wako rada na hii mambo.,Sheng
"Niaje jo, uko fiti ama uko chini?",Sheng
Hiyo ngoma inabamba kinoma kwa klabu.,Sheng
Acha niitaitie huyo msee kwa simu.,Sheng
Tunaenda kwa mtaa kutafta ma-ganji leo.,Sheng
Si tuchill hapa hivi kiasi randa itulie.,Sheng
Huyu msee ana piga story za jaba tupu.,Sheng
Leta hiyo design niicheki kama ni fiti.,Sheng
Tunasonga mbele hatuagushwi na hizi risto.,Sheng
Kuna mathree inapita hapa sasa hivi.,Sheng
Wacha ni-grab kanyam kwa kibanda hapa.,Sheng
Msee yule ana pesa mob anajifanya mjanja.,Sheng
Hiyo keja yake ni fiti sana kwa real.,Sheng
Tushike hapo buda usiku wa leo kabisa.,Sheng
Sijui kama tutafika time hiyo gari imekufa.,Sheng
Maze demo hii ilikuwa fire kabisa usiku.,Sheng
Watu wa mtaa wanajua story zote za hapa.,Sheng
Nilikuwa naenda kudai kakitu kidogo area.,Sheng
Maze hiyo maneno ulifanya vibaya sana boss.,Sheng
Dem yule alikuwa na vibes mob jana usiku.,Sheng
Buda usisahau kuleta mchele kwa nyumba leo.,Sheng
Hiyo ngozi yako leo imekaa fiti kabisa.,Sheng
Maze watu wa klabu hawakuacha kuimba usiku.,Sheng
Tulikuwa tukicheki movies mpaka alfajiri leo.,Sheng
Msee ana sherehekea birthday yake saa hii.,Sheng
Wacha niingie ndani nipumzike kiasi sasa.,Sheng
Hiyo beat mpya ya msanii huyo inabamba sana.,Sheng
Buda leo niko na njaa mob niambie wapi kula.,Sheng
Maze hiyo job mpya itamlipa vizuri msee.,Sheng
Wasee wa area wanajuana tangu wadogo sana.,Sheng
Acha mambo ya jaba usome kwa bidii buda.,Sheng
Hiyo mtu alikuwa anapiga kelele mtaani usiku.,Sheng
Maze sitaki kelele leo niache nipumzike tu.,Sheng
Tukae chini tuongee story hii vizuri buda.,Sheng
Huyo msee ana hustle mob kila siku bila kupumzika.,Sheng
Vibes ya leo usiku itakuwa fire kabisa.,Sheng
Maze sikujua hiyo ngoma mpya imekuja sokoni.,Sheng
Buda nipe mkono kidogo leo sina kakitu.,Sheng
Hiyo maneno yangu ni ya kweli kabisa buda.,Sheng
Msee yule ana run biashara yake fiti sana.,Sheng
Tuende tuone hiyo mtu wanasema ana skills.,Sheng
Maze hiyo dress ya huyo dem ilikuwa poa sana.,Sheng
Nitakuja kwa base yako baadaye leo usiku.,Sheng
Hiyo show ilikuwa ya moto kabisa jana usiku.,Sheng
Buda usijali watu wa nje waendelee na mambo yao.,Sheng
Maze saa hii niko kwa jam kubwa sana mtaani.,Sheng
Wasee wa cyber wanajua hizi vitu vizuri kabisa.,Sheng
An gi tich matek e puodho kendo an gi nyadhi.,Luo
Idhi kanye nyathi ma nyako ma niber?,Luo
Omera nitie kod gimoro amora ma itimo.,Luo
Adwaro chiemo nikech kech koro nega.,Luo
Nyasaye ogwedhi e tich ma itimo kawuono.,Luo
Mano en hera makende ma an-go ni in.,Luo
Iriti maber nyaka wadere kendo saa machielo.,Luo
Ang'o ma itimo e dala ka gima itoro?,Luo
Piny nger nikech nyasaye ema oloye duto.,Luo
Pi en ngima ni dhano kod le duto.,Luo
Ber na iyie ni wadhi e chiro kendo.,Luo
Wuora ohero dhi e puodho gokinyi mang'ich.,Luo
Nyithindo go lwedo nikech gimor kendo.,Luo
Cham chak ma nyuol osetimo maber koro.,Luo
Welo obiro dala kendo wadwaro miyo gi chiemo.,Luo
Ng'ato ka ng'ato nigi kaka odwaro dak.,Luo
Erokamano namba itimo gima neno maber.,Luo
Aheri matek ahinya mama ni nyakwarwa.,Luo
Wadhi e kanisa mondo walam nyasaye marwa.,Luo
Koth ochako chue kendo piny koro ng'ich.,Luo
Bende inyalo konyo nyako ma oywak ni?,Luo
Dhero en gimoro ma dhano ok ohero.,Luo
Nyinga en Rachel kendo an-go tich matek.,Luo
Mach en gima wang'o piny ka ok irite.,Luo
Mano en tich motegno ma chulo maber.,Luo
Wuod dala obiro maro chiemo mar dala.,Luo
Gima itiyo kawuono biro konyi dwe mabiro.,Luo
Yaye ne wuoyo kod nyithindo e ot.,Luo
Omera wadhi e nama mondo wanam rech.,Luo
Luo en dhok maber ma ji ohero wuoyo.,Luo
Puodho osedo maber kendo cham biro bedo mang'eny.,Luo
Jathieth obiro dala mondo onej nyathi matuo.,Luo
Wach ma owacho en adier mak ogombo.,Luo
Nyako ma ber osebedo gi teko mar somo.,Luo
Gima ahere moloyo en dala gi jooda duto.,Luo
Rawera en gima ber ni dhano duto.,Luo
Joluo ohero mor kod wer e keyo.,Luo
Wan waduto wabiro chopo e kend mar nyasaye.,Luo
Ng'at ma ohero tich biro yudo gima ohero.,Luo
Wuora owacho ni wadhi dala oko seche mang'eny.,Luo
Nyithindo mag kawuono ohero game mar bal tyer.,Luo
Gima omiya mor en lamo mar okinyi.,Luo
In gi teko mar timo gima ichwaro timo.,Luo
Odiechieng maber en ma wan-go gi jooda.,Luo
Siko mar joluo en ma ber miweyore.,Luo
Welo ma obiro dala noyudo chiemo mang'eny.,Luo
Omera mondo iyud teko e tich ma itimo.,Luo
Osiep maber en ma nitie ka irembo.,Luo
Giko mar tich ne wuoyo gi mor maduong.,Luo
Dhano duto nitie gima onego otim e ngima.,Luo
Wuod nam en ng'at ma ong'eyo rech maber.,Luo
Chiemo mar joluo en moo yot kod aliya.,Luo
Nyasaye telo e yo duto ma wadhi iye.,Luo
Joka dala biro karuok e dwe ma biro.,Luo
Wuora osetimo tich matek ni wadhi maber.,Luo
Ng'ama ohero somo biro yudo ngima maber.,Luo
Loch maber biro a e chuny mar ng'at maber.,Luo
Gima ipar kawuono biro kony dwe machielo.,Luo
Yaye ne wer wer e ot kar lamo.,Luo
Tiyo gi chuny duto e tich mimiyi en ber.,Luo
Oganda joluo nigi siko mabeyo moloyo mang'eny.,Luo
Omera koth ochako chue koro wadhi e ot.,Luo
Wuod dala osomo maber kendo osenyalo timo tich.,Luo
Niko home nikicheki YouTube sasa.,Mixed
Tunaenda lunch saa nane mchana.,Mixed
Please nitumie hiyo file kwa WhatsApp.,Mixed
Leo niko busy sana na school project.,Mixed
Unakuja kwa meeting yetu kesho?,Mixed
Nimesahau my keys kwa gari.,Mixed
Hiyo dress yako inakaa so smart.,Mixed
Wacha nimalize my assignment kwanza.,Mixed
Tunaona hiyo movie saa ngapi tonight?,Mixed
Naomba unipatie your phone number tafadhali.,Mixed
Daktari alisema nikuwe on bed rest.,Mixed
Sisi wote tuko ready kwa presentation.,Mixed
Nipee direction ya kwenda kwa office.,Mixed
Yule kijana ako so talented kwa sports.,Mixed
Chakula ilikuwa cold sana kwa restaurant.,Mixed
Nitumie hiyo location nitumie Uber.,Mixed
Sina bundle za kutosha ku-watch videos.,Mixed
Walimu wako on strike tangu Monday.,Mixed
Tukutane kwa stage ya bus saa kumi.,Mixed
I am waiting kwa foleni ya bank.,Mixed
Ngoja nivae my shoes ndio tutoke.,Mixed
Hiyo duka iko open mpaka usiku.,Mixed
Nimepoteza my student ID jana usiku.,Mixed
Usiwahi lose hope kwa maisha yako.,Mixed
Kila mtu ako invited kwa party yangu.,Mixed
I am going to the soko right now.,Mixed
Alienda school mapema leo asubuhi.,Mixed
Niko kwa office nafanya kazi yangu.,Mixed
Please nitumie message kwa simu yako.,Mixed
Chakula ilikuwa delicious sana jana usiku.,Mixed
Tunaenda holiday mwezi ujao kule pwani.,Mixed
Nimepoteza my phone kwa gari ya msee.,Mixed
Wewe ni my best friend kabisa.,Mixed
Anapenda ku-watch football kila weekend.,Mixed
Nitumie link ya hiyo meeting ya leo.,Mixed
Nimedownload app mpya kwa phone yangu.,Mixed
Tafadhali nisaidie ku-print document hii haraka.,Mixed
Niko on my way nakuja saa moja.,Mixed
Hiyo laptop yako iko slow sana leo.,Mixed
Naomba ukague email yako kwa details zaidi.,Mixed
Tumefika airport saa mbili before time yetu.,Mixed
Kesho tuna test ya math saa nne asubuhi.,Mixed
Unaweza ku-share screen yako kwa meeting?,Mixed
Nimeweka reminder kwa phone yangu ya appointment.,Mixed
Hiyo WiFi inafanya kazi vibaya sana leo.,Mixed
Tutaonana kwa event ya Friday usiku hapa.,Mixed
Nimejaza form yote na kusubmit online.,Mixed
Tafadhali confirm attendance yako kwa event hii.,Mixed
Nimemaliza ku-edit video yangu ya project.,Mixed
Unaenda gym saa ngapi leo jioni?,Mixed
Nimepata internship kwa kampuni nzuri mjini.,Mixed
Tukutane kwa coffee kesho asubuhi saa tatu.,Mixed
Nimesoma notes zangu zote kwa exam ya kesho.,Mixed
Hiyo presentation yako ilikuwa very impressive sana.,Mixed
Nimetuma CV yangu kwa jobs tano wiki hii.,Mixed
Unaweza kunisaidia ku-fix bug hii kwa code?,Mixed
Nimepanga kufanya shopping baada ya class leo.,Mixed
Tafadhali usiforget kulipa rent mwezi huu.,Mixed
Niko kwa library nikiread kwa exam ya Thursday.,Mixed
Hiyo network coverage hapa ni mbaya sana.,Mixed
Tunaenda road trip Nakuru weekend ijayo.,Mixed
Nimepiga picha nyingi kwa camera yangu mpya.,Mixed
Please usinisumbue niko kwa class saa hii.,Mixed
Nimekuwa nikiwatch series mpya kwa Netflix usiku.,Mixed
Hiyo bei ya petrol imepanda tena wiki hii.,Mixed
Tunaenda kuosha gari baada ya lunch saa hii.,Mixed
She registered for the upcoming marathon next month.,English
The pastor delivered a powerful sermon on Sunday.,English
He repaired the roof before the long rains.,English
The campus canteen was renovated over the holiday.,English
She learned how to drive during the semester break.,English
The journalist reported from the scene of the accident.,English
He sent his CV to ten companies this week.,English
The water pump broke down and left us with no water.,English
The nurse administered the vaccine to the children.,English
He read the entire novel in one afternoon.,English
The debate team prepared for the national competition.,English
She organized her files before the office audit.,English
The farmer sold maize at the cooperative society.,English
He fixed the leaking pipe before the landlord noticed.,English
The coach trained the team every evening after school.,English
She received a scholarship to study computer science.,English
The accountant filed the tax returns before the deadline.,English
He downloaded the lecture notes before the internet cut.,English
The students held a debate about climate change.,English
She baked a birthday cake for her younger brother.,English
The new supermarket opened in the estate last week.,English
He updated his LinkedIn profile with his new skills.,English
The power bank saved his phone during the long trip.,English
She donated blood at the hospital on her birthday.,English
The community organized a fundraiser for flood victims.,English
Watoto wanacheza mpira baada ya shule.,Swahili
Serikali imepanga mikakati ya kuboresha elimu.,Swahili
Hospitali mpya inajengwa karibu na mji wetu.,Swahili
Ndege iliruka kutoka uwanja wa ndege asubuhi.,Swahili
Baba yangu analima shamba kila asubuhi mapema.,Swahili
Tunahitaji kulinda misitu yetu kwa siku zijazo.,Swahili
Dawa hii inasaidia kupunguza maumivu ya kichwa.,Swahili
Mtoto wangu amefaulu mitihani yake vizuri sana.,Swahili
Wanafunzi walisherehekea siku ya utamaduni shuleni.,Swahili
Mvua ya mawe ilisababisha hasara kubwa mashambani.,Swahili
Mwalimu alielezea somo kwa uvumilivu mkubwa.,Swahili
Tunaomba amani na utulivu katika nchi yetu.,Swahili
Biashara ndogo ndogo zinachangia uchumi wa nchi.,Swahili
Nyumba mpya inajengwa kwa nguvu nyingi sana.,Swahili
Vijana wanapaswa kujifunza stadi za maisha mapema.,Swahili
Polisi walifika haraka baada ya kupigwa simu.,Swahili
Soko la Gikomba lina bidhaa nyingi za bei nafuu.,Swahili
Watoto wanapenda kula pipi na chokoleti nyingi.,Swahili
Kampuni ya simu imetoa ofa mpya kwa wateja.,Swahili
Mazingira safi yanasaidia afya ya kila mtu.,Swahili
Msichana yule amesoma sana hadi akafaulu vizuri.,Swahili
Umeme ulizimwa kwa muda wa masaa mawili usiku.,Swahili
Chakula cha asubuhi ni muhimu kwa nguvu za mwili.,Swahili
Ziwa Victoria ni ziwa kubwa sana barani Afrika.,Swahili
Mchezaji huyo alipiga goli zuri sana mchezo wa leo.,Swahili
Wimbo huu unanigusa moyo kila niusikiapo.,Swahili
Familia yangu inakaa pamoja kila Jumapili usiku.,Swahili
Gari la moshi lilifika stesheni kwa wakati.,Swahili
Mtoto alipoteza kitabu chake darasa la tatu.,Swahili
Dada yangu anafanya kazi benki mjini Nairobi.,Swahili
Shamba letu lina matunda mengi msimu huu.,Swahili
Wazazi wanapaswa kutumia muda na watoto wao.,Swahili
Barua pepe iliwasilishwa kwa makosa kwa mtu mwingine.,Swahili
Timu yetu ilicheza vizuri na kushinda mechi leo.,Swahili
Mgonjwa alifika hospitali akiwa na hali mbaya sana.,Swahili
Darasa letu lina wanafunzi arobaini na watano.,Swahili
Nyota zinang'aa sana usiku wa leo hapa.,Swahili
Msee yule ana pesa mob anajifanya mjanja.,Sheng
Hiyo keja yake ni fiti sana kwa real.,Sheng
Tushike hapo buda usiku wa leo kabisa.,Sheng
Sijui kama tutafika time hiyo gari imekufa.,Sheng
Maze demo hii ilikuwa fire kabisa usiku.,Sheng
Watu wa mtaa wanajua story zote za hapa.,Sheng
Nilikuwa naenda kudai kakitu kidogo area.,Sheng
Maze hiyo maneno ulifanya vibaya sana boss.,Sheng
Dem yule alikuwa na vibes mob jana usiku.,Sheng
Buda usisahau kuleta mchele kwa nyumba leo.,Sheng
Hiyo ngozi yako leo imekaa fiti kabisa.,Sheng
Maze watu wa klabu hawakuacha kuimba usiku.,Sheng
Tulikuwa tukicheki movies mpaka alfajiri leo.,Sheng
Msee ana sherehekea birthday yake saa hii.,Sheng
Wacha niingie ndani nipumzike kiasi sasa.,Sheng
Hiyo beat mpya ya msanii huyo inabamba sana.,Sheng
Buda leo niko na njaa mob niambie wapi kula.,Sheng
Maze hiyo job mpya itamlipa vizuri msee.,Sheng
Wasee wa area wanajuana tangu wadogo sana.,Sheng
Acha mambo ya jaba usome kwa bidii buda.,Sheng
Hiyo mtu alikuwa anapiga kelele mtaani usiku.,Sheng
Maze sitaki kelele leo niache nipumzike tu.,Sheng
Tukae chini tuongee story hii vizuri buda.,Sheng
Huyo msee ana hustle mob kila siku bila kupumzika.,Sheng
Vibes ya leo usiku itakuwa fire kabisa.,Sheng
Maze sikujua hiyo ngoma mpya imekuja sokoni.,Sheng
Buda nipe mkono kidogo leo sina kakitu.,Sheng
Hiyo maneno yangu ni ya kweli kabisa buda.,Sheng
Msee yule ana run biashara yake fiti sana.,Sheng
Tuende tuone hiyo mtu wanasema ana skills.,Sheng
Maze hiyo dress ya huyo dem ilikuwa poa sana.,Sheng
Nitakuja kwa base yako baadaye leo usiku.,Sheng
Hiyo show ilikuwa ya moto kabisa jana usiku.,Sheng
Buda usijali watu wa nje waendelee na mambo yao.,Sheng
Maze saa hii niko kwa jam kubwa sana mtaani.,Sheng
Wasee wa cyber wanajua hizi vitu vizuri kabisa.,Sheng
Kapsa hiyo game mpya imekuja fiti sana buda.,Sheng
Msee amenitumia pesa kwa mpesa asubuhi leo.,Sheng
Tulifika base yake tukakuta hana mtu kabisa.,Sheng
Wuod dala obiro maro chiemo mar dala.,Luo
Gima itiyo kawuono biro konyi dwe mabiro.,Luo
Yaye ne wuoyo kod nyithindo e ot.,Luo
Omera wadhi e nama mondo wanam rech.,Luo
Luo en dhok maber ma ji ohero wuoyo.,Luo
Puodho osedo maber kendo cham biro bedo mang'eny.,Luo
Jathieth obiro dala mondo onej nyathi matuo.,Luo
Wach ma owacho en adier mak ogombo.,Luo
Nyako ma ber osebedo gi teko mar somo.,Luo
Gima ahere moloyo en dala gi jooda duto.,Luo
Rawera en gima ber ni dhano duto.,Luo
Joluo ohero mor kod wer e keyo.,Luo
Wan waduto wabiro chopo e kend mar nyasaye.,Luo
Ng'at ma ohero tich biro yudo gima ohero.,Luo
Wuora owacho ni wadhi dala oko seche mang'eny.,Luo
Nyithindo mag kawuono ohero game mar bal tyer.,Luo
Gima omiya mor en lamo mar okinyi.,Luo
In gi teko mar timo gima ichwaro timo.,Luo
Odiechieng maber en ma wan-go gi jooda.,Luo
Siko mar joluo en ma ber miweyore.,Luo
Welo ma obiro dala noyudo chiemo mang'eny.,Luo
Omera mondo iyud teko e tich ma itimo.,Luo
Osiep maber en ma nitie ka irembo.,Luo
Giko mar tich ne wuoyo gi mor maduong.,Luo
Dhano duto nitie gima onego otim e ngima.,Luo
Wuod nam en ng'at ma ong'eyo rech maber.,Luo
Chiemo mar joluo en moo yot kod aliya.,Luo
Nyasaye telo e yo duto ma wadhi iye.,Luo
Joka dala biro karuok e dwe ma biro.,Luo
Wuora osetimo tich matek ni wadhi maber.,Luo
Ng'ama ohero somo biro yudo ngima maber.,Luo
Loch maber biro a e chuny mar ng'at maber.,Luo
Gima ipar kawuono biro kony dwe machielo.,Luo
Yaye ne wer wer e ot kar lamo.,Luo
Tiyo gi chuny duto e tich mimiyi en ber.,Luo
Oganda joluo nigi siko mabeyo moloyo mang'eny.,Luo
Omera koth ochako chue koro wadhi e ot.,Luo
Nimedownload app mpya kwa phone yangu.,Mixed
Tafadhali nisaidie ku-print document hii haraka.,Mixed
Niko on my way nakuja saa moja.,Mixed
Hiyo laptop yako iko slow sana leo.,Mixed
Naomba ukague email yako kwa details zaidi.,Mixed
Tumefika airport saa mbili before time yetu.,Mixed
Kesho tuna test ya math saa nne asubuhi.,Mixed
Unaweza ku-share screen yako kwa meeting?,Mixed
Nimeweka reminder kwa phone yangu ya appointment.,Mixed
Hiyo WiFi inafanya kazi vibaya sana leo.,Mixed
Tutaonana kwa event ya Friday usiku hapa.,Mixed
Nimejaza form yote na kusubmit online.,Mixed
Tafadhali confirm attendance yako kwa event hii.,Mixed
Nimemaliza ku-edit video yangu ya project.,Mixed
Unaenda gym saa ngapi leo jioni?,Mixed
Nimepata internship kwa kampuni nzuri mjini.,Mixed
Tukutane kwa coffee kesho asubuhi saa tatu.,Mixed
Nimesoma notes zangu zote kwa exam ya kesho.,Mixed
Hiyo presentation yako ilikuwa very impressive sana.,Mixed
Nimetuma CV yangu kwa jobs tano wiki hii.,Mixed
Unaweza kunisaidia ku-fix bug hii kwa code?,Mixed
Nimepanga kufanya shopping baada ya class leo.,Mixed
Tafadhali usiforget kulipa rent mwezi huu.,Mixed
Niko kwa library nikiread kwa exam ya Thursday.,Mixed
Hiyo network coverage hapa ni mbaya sana.,Mixed
Tunaenda road trip Nakuru weekend ijayo.,Mixed
Nimepiga picha nyingi kwa camera yangu mpya.,Mixed
Please usinisumbue niko kwa class saa hii.,Mixed
Nimekuwa nikiwatch series mpya kwa Netflix usiku.,Mixed
Hiyo bei ya petrol imepanda tena wiki hii.,Mixed
Tunaenda kuosha gari baada ya lunch saa hii.,Mixed
Nimefika town naomba unipatie your location sasa.,Mixed
Hiyo hadithi uliyosimulia ilikuwa so touching sana.,Mixed
Nimetry ku-call lakini simu yako haikuwa reachable.,Mixed
The lecturer cancelled the afternoon class without notice.,English
She submitted her assignment five minutes before the deadline.,English
The campus Wi-Fi is extremely slow during peak hours.,English
He borrowed a textbook from the university library.,English
The graduation ceremony will be held next Saturday.,English
She is pursuing a degree in computer science.,English
The internship program starts at the beginning of next month.,English
He attended a workshop on machine learning last week.,English
The student council organized a debate competition.,English
She passed all her units in the supplementary exams.,English
The new semester begins after the short holiday.,English
He is preparing a research proposal for his supervisor.,English
The cafeteria runs out of food by midday.,English
She won a scholarship to study in Germany.,English
The network was down for most of the morning.,English
He installed a new operating system on his laptop.,English
The professor gave an extension for the group project.,English
She is studying for her professional certification exam.,English
The faculty held an open day for prospective students.,English
He submitted his project report via the online portal.,English
The matatu fare has increased due to fuel prices.,English
She sends money home every end of the month.,English
He queued for hours at the government office.,English
The boda boda riders formed an association in the estate.,English
She opened a mobile money account for her business.,English
He repaired his bicycle before the early morning trip.,English
The water kiosk was closed when we arrived.,English
She sold mandazi every morning near the school gate.,English
He attended a community meeting about drainage issues.,English
The estate association discussed security concerns last night.,English
She started a small poultry business at home.,English
He bought second-hand shoes from Gikomba market.,English
The rain caused flooding in several parts of town.,English
She applied for a job at a local NGO.,English
He commutes two hours to work every single day.,English
The power company announced scheduled outages for the week.,English
She saved enough money to buy a small plot.,English
He registered his business with the county government.,English
The chief held a baraza to discuss land matters.,English
She donated food to a children's home in her area.,English
The new stadium will be ready before the tournament.,English
He scored the winning goal in injury time.,English
The coach praised the team's defensive performance.,English
She trained every morning before school started.,English
The tournament was postponed due to heavy rains.,English
He joined the school swimming team this term.,English
The national team departed for the regional championships.,English
She ran the half marathon in under two hours.,English
The referee made a controversial decision in the second half.,English
He received a yellow card for a foul tackle.,English
Scientists have developed a new malaria vaccine.,English
The hospital introduced digital patient records this year.,English
She visited the nutritionist for a dietary assessment.,English
He was advised to rest for two weeks after surgery.,English
The government expanded free healthcare to more counties.,English
She took her child for the routine immunization visit.,English
The new clinic opened in the underserved rural area.,English
He recovered quickly thanks to early treatment.,English
The mental health awareness campaign reached thousands.,English
She found a therapist who specializes in trauma.,English
Farmers in the region are adopting drip irrigation.,English
The cooperative sold maize at a fair market price.,English
